"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
89;88;88;91;90;87;85;85;88;87;88;86;87;88;88;86;87;88;83;83;83;83;89;79;88;92;88;89;94;90;84;82;82;83;82;81
91;93;89;91;92;91;87;87;88;82;89;86;89;92;91;87;91;88;84;86;86;87;87;84;89;90;93;90;95;86;85;85;86;86;89;84
88;89;90;88;93;85;82;86;90;83;88;84;82;86;86;85;87;84;83;81;84;81;85;77;89;89;93;91;92;88;83;84;86;84;86;83
90;89;89;91;91;88;86;85;87;84;92;85;89;88;90;88;88;87;84;82;85;83;89;84;89;91;89;88;92;87;87;85;86;87;90;82
89;89;88;90;90;87;87;86;89;85;87;84;88;90;89;90;89;88;80;86;83;79;85;79;89;88;94;86;89;90;86;84;84;89;88;82
87;90;88;87;92;88;87;85;84;84;89;84;91;92;91;91;92;90;80;85;81;83;86;82;91;87;95;86;91;89;81;83;83;82;83;82
89;90;87;88;91;86;82;90;84;80;86;83;86;87;88;85;89;86;77;81;83;80;85;77;86;89;89;86;89;80;83;85;87;82;85;84
91;89;92;92;92;86;89;85;86;84;84;84;88;88;89;88;88;87;81;83;83;83;87;80;89;91;92;86;90;89;86;83;86;86;86;83
90;91;90;87;92;86;83;86;85;80;86;79;94;92;93;89;93;90;83;85;86;79;86;77;89;90;89;89;89;81;80;84;83;82;83;82
85;84;84;87;88;83;86;86;86;81;89;83;88;88;88;89;90;87;78;81;85;78;85;77;87;89;90;82;92;86;80;84;84;84;85;80
91;92;90;91;92;92;85;86;87;86;89;84;87;89;89;88;87;87;86;87;85;84;88;84;88;87;93;89;93;86;88;86;87;86;89;83
89;88;90;89;90;88;82;85;88;84;87;82;88;85;88;86;89;88;80;83;84;82;87;77;93;90;93;89;92;92;85;82;85;81;85;84
90;89;88;90;89;88;90;87;86;84;93;85;90;91;91;90;92;90;82;83;84;78;85;84;87;89;91;85;92;86;84;82;81;85;84;80
91;90;89;90;92;87;89;83;88;84;86;85;88;89;90;88;88;88;81;86;85;85;87;82;90;88;91;89;92;90;84;87;83;86;88;84
89;90;88;89;89;86;86;84;88;86;90;83;87;85;87;86;89;86;78;82;84;80;84;78;89;91;88;87;92;87;84;84;83;82;85;82
90;90;90;89;91;88;86;86;85;81;88;84;87;87;87;88;89;86;89;87;87;84;87;84;87;90;88;86;90;90;84;82;84;86;88;84
90;92;88;91;92;87;85;86;83;86;86;86;89;90;89;88;88;87;83;85;86;81;86;79;90;89;90;88;90;85;84;85;86;87;86;85
86;88;87;87;87;85;84;87;81;82;86;83;85;86;84;84;85;84;80;78;85;81;82;76;89;91;89;89;91;90;81;82;81;82;82;80
89;89;90;91;91;88;84;82;86;81;87;85;90;88;90;89;90;88;81;82;81;79;84;79;88;86;92;85;91;87;84;85;87;83;86;85
91;89;90;90;92;91;84;88;87;83;88;81;89;90;90;91;92;88;80;81;80;82;86;78;87;89;89;87;89;89;84;83;84;81;85;81
