"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
73;73;75;74;75;74;76;73;74;74;77;77;80;78;78;80;80;79;72;73;72;72;72;72;80;80;80;78;83;77;73;72;70;73;72;72
75;76;76;77;78;76;74;75;76;75;77;75;76;75;77;74;76;75;69;74;70;71;75;69;78;80;81;78;82;77;73;72;73;75;77;71
63;62;63;62;63;62;64;60;65;62;63;62;62;60;63;60;60;62;60;61;61;61;59;60;68;65;68;65;68;64;61;59;62;60;62;60
78;77;78;77;78;77;78;77;75;75;79;76;79;78;80;77;80;77;74;77;75;72;80;74;79;83;83;79;85;79;73;74;72;73;74;71
75;76;74;76;77;75;78;78;79;76;76;76;76;76;77;76;78;76;70;72;71;70;77;70;83;84;85;82;87;82;72;73;72;71;73;71
85;87;86;87;87;84;79;81;86;78;82;78;83;82;82;82;83;81;81;81;80;81;84;79;87;87;90;87;90;87;84;83;81;83;84;80
78;78;78;79;80;77;77;79;80;78;82;80;79;77;79;76;78;78;78;77;76;76;80;73;85;84;88;84;88;81;76;73;76;75;77;74
53;53;53;55;53;53;52;53;56;56;56;55;55;55;55;55;55;55;52;51;53;53;52;51;58;59;60;60;58;58;51;51;51;49;51;51
84;85;84;81;83;83;82;85;84;79;85;77;85;86;85;86;87;84;81;81;80;78;82;77;87;88;90;87;89;87;78;80;78;77;82;80
54;53;53;54;54;54;55;54;55;52;54;51;54;54;54;55;55;53;56;52;54;56;57;54;60;61;59;60;60;60;52;51;51;51;53;52
65;64;65;65;67;65;65;68;63;63;66;66;63;62;63;64;64;64;63;64;62;63;64;62;67;67;68;69;71;68;63;61;61;63;62;62
67;67;67;67;67;65;68;68;67;68;68;67;65;64;64;65;64;65;65;62;64;64;67;62;68;74;72;70;72;68;66;65;65;65;66;65
80;81;81;81;83;79;79;79;80;77;79;81;82;80;81;80;82;79;77;78;76;77;78;78;83;88;85;85;86;83;77;77;78;78;81;73
57;57;57;59;58;58;60;55;57;56;59;58;59;59;59;58;58;59;55;52;54;55;55;54;60;61;62;59;61;59;55;58;56;56;55;56
57;57;56;56;56;56;56;57;58;59;58;56;57;57;57;57;57;57;56;54;54;53;55;54;60;62;60;60;63;60;55;53;55;53;53;55
60;60;60;60;61;60;61;58;59;58;59;59;62;62;62;62;62;62;58;57;59;56;59;58;62;62;63;63;63;63;61;61;61;61;60;61
71;71;69;71;71;70;73;70;70;70;75;64;73;73;72;73;73;72;64;64;64;62;65;64;73;74;71;76;76;71;67;68;68;66;68;66
82;82;82;81;85;79;84;85;82;79;81;83;82;84;85;81;85;81;82;78;81;79;83;76;90;87;90;89;91;89;77;78;79;77;81;76
67;67;67;67;67;68;63;62;65;63;64;66;65;65;66;65;66;65;60;60;62;59;65;59;69;71;69;68;71;69;61;59;61;61;59;60
76;75;76;76;77;72;74;76;74;71;81;72;75;77;76;74;77;75;76;74;74;75;75;73;77;77;82;73;83;75;75;72;75;73;75;74
