"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
86;89;87;87;87;87;82;83;83;87;85;81;88;87;89;89;89;90;80;80;80;79;84;79;89;89;93;87;89;87;78;78;81;75;80;78
88;88;86;89;90;85;85;85;89;86;87;85;87;87;86;85;85;88;83;82;81;84;85;80;89;87;89;86;89;87;80;79;79;80;83;79
89;88;89;88;91;88;90;81;84;84;88;86;90;86;91;89;89;91;83;85;84;79;87;78;89;90;92;88;92;86;86;83;83;87;89;85
85;85;84;85;86;82;82;82;86;80;84;84;85;86;86;84;85;84;82;81;81;79;83;78;91;89;90;87;90;87;83;79;80;82;83;78
92;91;90;91;92;87;84;88;87;85;91;82;89;90;91;89;90;89;84;83;82;80;87;79;87;89;90;87;90;89;87;85;85;87;88;84
91;91;90;91;92;88;85;86;84;83;90;84;91;91;90;91;91;91;81;79;82;82;88;78;86;90;88;86;92;84;87;88;88;88;91;86
87;89;88;89;90;87;84;89;88;82;84;84;87;88;88;86;87;86;83;87;85;84;92;83;88;90;91;85;90;85;82;85;81;86;87;81
88;89;87;87;87;85;82;82;85;81;85;85;90;90;91;89;91;89;82;82;85;81;85;79;89;91;91;87;90;88;83;80;80;83;82;82
88;89;88;90;91;84;82;85;87;84;88;84;84;84;85;83;86;83;80;81;82;80;85;76;88;87;92;83;91;85;84;84;80;86;86;80
90;88;87;90;89;87;85;84;85;84;91;83;88;87;87;88;90;86;84;83;84;82;85;81;89;89;89;91;90;88;85;83;85;84;84;84
64;64;63;64;65;62;62;61;63;60;64;58;64;63;64;63;64;62;62;64;63;61;65;61;63;63;63;62;66;64;61;60;59;60;61;59
92;91;92;90;93;89;87;89;86;83;89;84;88;90;91;87;91;87;84;85;89;81;92;84;91;92;92;88;94;90;86;87;87;84;87;88
85;85;83;84;85;84;78;83;87;81;86;78;88;85;88;86;88;86;81;81;78;78;84;77;87;88;91;88;89;84;81;81;83;80;85;80
90;89;91;88;90;87;84;87;83;81;87;82;86;88;87;86;88;85;79;85;81;82;86;78;87;91;92;88;92;89;85;85;85;82;86;81
92;90;90;91;92;91;89;85;86;85;90;89;90;90;91;90;91;90;87;86;83;86;87;82;88;93;91;91;92;85;86;84;86;87;88;83
76;77;77;75;77;74;76;76;81;74;73;73;77;77;79;77;80;77;70;70;72;70;74;71;78;79;82;79;81;81;74;72;74;73;76;73
90;89;90;89;91;87;79;88;83;81;92;82;86;86;85;85;87;84;79;77;81;76;88;77;86;89;90;86;86;85;84;83;86;83;87;82
88;89;90;89;91;87;83;82;88;83;88;84;92;88;89;90;91;90;83;82;81;81;85;77;88;86;92;84;89;84;86;83;85;86;87;82
88;87;87;87;88;86;84;88;86;83;88;82;86;84;88;85;87;84;77;83;80;83;81;75;89;92;89;85;91;87;84;83;82;84;83;81
81;81;80;82;82;80;83;82;78;79;81;78;78;77;77;78;78;77;79;77;78;77;76;77;84;82;87;85;88;85;74;75;76;74;75;74
