"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
74;75;75;75;75;75;76;73;74;68;76;75;74;75;74;73;75;73;72;72;73;71;69;69;78;78;80;76;80;77;73;70;71;74;74;71
82;81;82;82;83;81;82;83;85;80;84;78;83;84;85;83;84;84;80;80;79;80;80;77;84;86;86;86;89;86;75;75;76;75;77;75
82;80;81;82;79;79;79;79;81;78;79;76;78;79;78;79;78;78;75;74;76;73;77;74;88;83;87;83;85;84;77;76;77;78;77;76
84;86;85;87;87;83;86;83;84;82;84;78;81;81;84;81;83;82;79;81;80;78;83;75;86;87;88;86;91;85;83;82;82;82;82;84
90;86;87;89;88;86;87;84;85;85;84;86;85;87;88;83;87;85;80;79;83;79;85;81;91;94;92;90;91;88;86;84;80;83;85;83
56;57;57;56;56;57;58;58;55;57;58;57;58;58;58;58;58;59;56;57;60;57;59;57;61;62;63;61;62;61;53;53;53;53;53;52
82;83;81;81;84;81;84;81;84;82;86;85;88;86;87;87;89;87;81;77;81;81;80;80;89;87;91;87;92;87;83;82;82;80;81;80
83;85;84;81;86;83;86;84;85;83;86;87;89;89;88;88;89;88;79;80;80;81;82;78;89;90;92;85;91;86;79;77;81;78;81;79
78;76;78;76;78;76;73;71;77;69;72;74;76;76;76;74;76;75;71;71;70;73;72;69;74;73;76;77;77;73;72;72;73;68;71;72
84;81;82;84;84;83;82;85;85;83;86;84;87;87;87;84;88;85;80;80;79;77;82;79;86;87;88;86;88;87;79;78;79;79;81;78
87;88;88;88;88;85;86;84;85;84;83;83;86;87;87;87;86;87;83;82;83;79;84;77;87;88;90;87;91;86;82;78;79;81;82;81
54;53;54;54;55;53;52;50;52;52;54;50;55;55;55;55;55;55;50;50;53;50;50;50;55;53;55;53;55;53;51;52;52;52;51;51
89;89;88;89;90;87;82;87;85;82;83;88;89;87;89;87;88;88;79;81;85;78;85;79;88;88;91;86;89;86;84;81;83;82;85;82
73;72;74;72;71;72;68;68;73;67;69;70;70;71;71;70;70;70;70;70;68;69;70;67;73;73;74;72;74;71;68;70;68;67;67;67
85;82;83;84;86;82;79;85;86;82;86;82;84;86;85;85;85;84;82;82;81;84;83;80;89;87;89;88;88;87;78;79;80;78;80;74
84;81;81;84;85;82;83;85;81;81;84;80;84;83;85;82;83;83;75;80;78;73;79;73;86;89;90;86;91;87;80;79;81;78;81;79
86;86;87;86;89;86;81;83;79;81;89;88;85;86;86;86;88;85;82;77;82;76;85;78;91;88;90;88;92;87;82;81;82;83;79;80
79;81;81;78;80;80;79;80;80;81;80;76;80;81;81;80;81;81;76;76;78;75;76;75;81;81;84;79;84;80;78;77;78;76;78;76
90;88;88;88;90;89;84;85;85;80;86;80;87;85;87;87;86;87;78;83;82;78;83;77;88;89;90;89;90;87;84;85;85;83;85;82
59;60;60;59;60;60;60;59;58;59;58;60;61;60;60;60;59;61;56;56;58;59;60;55;63;66;63;65;66;64;57;56;56;56;56;57
