s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
18;18;18;18;18;17;18;17;14;17;18;18;18;18;18;18;18;17;16;18;16;16;18;17;17;18;17;17;18;18;18;18;18;18;18;18;
10;10;10;10;10;10;9;10;10;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
16;16;16;16;16;16;16;15;14;14;16;16;16;16;16;16;16;16;15;15;15;15;16;15;16;16;16;16;16;16;16;16;16;16;16;16;
38;38;38;38;38;38;34;35;36;35;38;35;38;38;38;38;38;38;37;38;37;37;38;37;38;38;38;38;38;38;38;38;38;38;38;38;
24;24;24;24;24;24;23;22;23;23;24;21;24;24;24;24;24;24;23;23;23;23;23;23;24;24;24;24;24;23;23;24;23;23;24;24;
30;30;30;30;30;30;29;28;26;28;30;29;30;30;30;30;30;30;27;28;27;27;29;28;30;29;30;30;30;30;30;30;30;30;30;30;
16;16;16;16;16;16;16;16;15;16;16;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;16;16;16;16;16;16;
23;23;23;23;23;23;21;22;23;23;23;21;23;23;23;23;23;23;22;23;22;22;23;23;23;23;23;23;22;23;23;23;23;23;23;23;
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
25;25;25;25;25;25;23;24;24;23;25;24;25;25;25;25;25;25;23;24;23;23;24;22;24;25;24;24;25;24;25;25;25;25;25;25;
34;34;34;34;34;34;31;33;32;32;34;32;34;34;34;34;34;34;34;32;34;34;34;34;34;33;34;34;34;33;33;34;33;33;34;34;
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;9;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;
13;13;13;13;13;13;12;12;12;12;13;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;
18;18;18;18;18;18;18;17;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;
22;23;22;22;23;22;21;22;22;22;23;21;22;22;22;22;23;22;22;22;22;22;23;22;23;23;23;23;23;23;23;23;23;23;23;23;
16;16;16;16;16;16;16;16;16;15;16;15;16;16;16;16;16;16;15;15;15;15;16;15;16;16;16;16;16;16;16;16;16;16;16;16;
20;20;20;20;20;20;18;19;19;19;20;18;20;20;20;20;20;20;18;20;18;18;20;18;20;20;20;20;20;20;20;20;20;20;20;20;
18;18;18;18;18;18;18;16;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;17;18;18;18;18;18;18;18;18;18;18;
23;23;23;23;23;23;23;22;22;22;22;20;23;23;23;23;23;22;22;23;22;22;23;21;22;23;22;22;22;23;23;23;23;23;23;23;
18;18;18;18;18;18;17;18;18;17;18;18;18;18;18;18;18;18;17;18;17;17;18;17;18;18;18;18;18;18;18;18;18;18;18;18;
