s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
44;44;44;44;44;44;42;40;43;42;44;39;44;44;44;44;44;44;43;42;43;43;44;42;44;43;44;44;44;43;44;44;44;44;44;44;
45;45;45;45;45;45;45;43;45;45;45;44;45;45;45;45;45;45;45;45;45;45;45;45;45;42;45;45;45;44;45;45;45;45;45;45;
29;29;29;29;29;29;29;28;26;28;29;27;29;29;29;29;29;29;28;28;28;28;29;27;29;28;29;29;29;29;29;28;29;29;29;28;
22;22;22;22;22;22;21;21;21;20;22;20;22;22;22;22;22;22;21;22;21;21;22;21;21;21;21;21;22;21;22;22;22;22;22;22;
20;19;20;20;20;19;20;19;20;20;20;17;20;19;20;20;20;19;20;20;20;20;20;19;20;20;20;20;20;19;20;20;20;20;20;19;
40;40;40;40;40;40;38;39;39;39;38;37;39;39;39;39;40;39;38;40;38;38;39;39;40;39;40;40;40;39;40;40;40;40;40;40;
24;24;24;24;24;24;22;22;22;24;24;23;24;24;24;24;24;24;23;23;23;23;23;23;24;24;24;24;24;24;24;24;24;24;24;24;
45;45;45;45;45;45;44;43;42;42;44;42;45;45;45;45;45;45;42;43;42;42;45;41;45;44;45;45;45;43;44;45;44;44;45;45;
27;27;27;27;27;27;26;26;27;25;27;25;27;27;27;27;27;27;25;27;25;25;27;25;27;27;27;27;26;27;27;27;27;27;27;26;
14;14;14;14;14;14;14;13;14;14;14;14;13;13;13;13;14;13;13;13;13;13;14;13;13;13;13;13;14;13;14;14;14;14;14;14;
22;22;22;22;22;22;22;21;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;21;22;22;22;22;22;22;22;22;22;22;
49;49;49;49;49;49;46;47;46;47;49;47;49;49;49;49;49;49;47;48;47;47;49;47;49;49;49;49;49;48;49;49;49;49;49;49;
26;26;26;26;26;26;25;25;25;26;26;24;26;26;26;26;26;26;26;26;26;26;26;26;26;25;26;26;26;26;26;26;26;26;26;26;
33;33;33;33;33;33;30;33;31;32;33;32;32;32;32;32;33;32;33;33;33;33;33;32;33;33;33;33;32;32;33;33;33;33;33;33;
26;26;26;26;26;26;26;25;26;26;26;24;26;26;26;26;26;26;26;25;26;26;26;24;25;25;25;25;26;26;26;26;26;26;26;25;
44;44;44;44;44;44;42;42;39;42;44;39;44;44;44;44;44;44;44;44;44;44;44;44;44;43;44;44;44;44;44;44;44;44;44;44;
40;40;40;40;40;40;37;36;37;37;40;37;40;40;40;40;40;40;38;40;38;38;40;38;40;40;40;40;40;39;40;40;40;40;40;40;
42;42;42;42;42;42;39;39;40;40;42;39;42;42;42;42;42;42;39;41;39;39;41;41;41;42;41;41;42;41;42;42;42;42;42;42;
13;13;13;13;13;13;13;13;13;13;13;12;13;13;13;13;13;13;12;12;12;12;13;12;13;13;13;13;13;13;13;13;13;13;13;13;
43;43;43;43;43;43;39;42;40;40;42;40;41;40;41;41;43;40;42;41;42;42;42;40;43;41;43;43;43;40;43;43;43;43;42;43;
