s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
24;24;24;24;25;24;24;24;25;23;25;25;24;24;24;24;25;24;24;25;24;24;25;24;25;25;25;25;25;25;25;25;25;25;25;25;
76;76;76;76;76;76;74;75;71;71;76;73;71;72;71;71;75;71;73;73;73;73;74;74;75;74;75;75;76;76;76;74;76;76;76;76;
61;61;61;61;61;61;58;59;57;59;59;58;61;61;61;61;61;61;57;59;57;57;60;58;61;60;61;61;61;58;61;60;61;61;61;60;
67;67;67;67;67;67;64;65;65;63;67;64;67;67;67;67;67;67;65;66;65;65;67;66;66;67;66;66;67;66;67;67;67;67;67;67;
24;24;24;24;24;24;23;23;23;23;24;23;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;
34;34;34;34;34;34;34;32;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;34;34;34;34;34;34;34;34;34;34;
42;42;42;42;43;42;43;42;42;42;42;40;42;42;42;42;43;42;41;42;41;41;42;40;43;42;43;43;43;42;43;43;43;43;43;43;
42;42;42;42;42;42;37;39;40;41;42;40;40;40;40;40;42;40;42;41;42;42;41;42;41;41;41;41;40;41;42;42;42;42;42;42;
42;42;42;42;42;42;41;40;42;42;42;42;42;42;42;42;42;42;42;41;42;42;42;41;42;41;42;42;42;40;42;41;42;42;42;41;
71;71;71;71;72;72;71;70;70;65;70;66;72;72;72;72;72;72;68;69;68;68;71;72;72;70;72;72;72;70;72;72;72;72;72;71;
50;53;50;50;53;50;52;51;50;50;52;50;52;52;52;52;52;52;51;52;51;51;52;51;52;53;52;52;52;52;53;53;53;53;53;53;
97;97;97;97;97;97;91;93;90;94;95;92;95;95;95;95;97;95;92;95;92;92;95;94;96;96;96;96;95;94;97;97;97;97;96;95;
53;53;53;53;53;53;50;52;52;53;52;50;53;53;53;53;53;53;51;52;51;51;53;51;53;53;53;53;53;52;53;53;53;53;53;52;
105;105;105;105;105;105;99;101;98;101;105;99;104;105;104;104;105;104;102;103;102;102;104;103;104;105;104;104;104;104;104;105;104;104;105;104;
52;52;52;52;52;52;52;49;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;49;52;52;52;52;52;52;52;52;52;52;
82;82;82;82;82;82;77;76;74;81;80;75;78;79;78;78;82;78;78;80;78;78;81;79;81;80;81;81;80;79;82;79;82;82;81;79;
61;61;61;61;61;61;59;59;60;57;60;59;61;61;61;61;61;61;57;60;57;57;60;56;61;60;61;61;61;60;61;61;61;61;61;61;
42;42;42;42;42;42;39;41;40;42;41;39;40;40;40;40;42;40;41;41;41;41;42;40;42;40;42;42;42;40;42;41;42;42;41;42;
39;39;39;39;39;39;36;36;37;39;39;35;38;39;38;38;39;38;38;37;38;38;39;37;39;37;39;39;39;37;38;38;38;38;38;37;
48;47;48;48;48;48;46;47;47;46;48;45;48;48;48;48;48;48;42;44;42;42;48;42;45;47;45;45;48;46;47;47;47;47;47;47;
