s - s;s - r;s - i;s - ri;s - o;s - ro;r - s;r - r;r - i;r - ri;r - o;r - ro;i - s;i - r;i - i;i - ri;i - o;i - ro;ri - s;ri - r;ri - i;ri - ri;ri - o;ri - ro;o - s;o - r;o - i;o - ri;o - o;o - ro;ro - s;ro - r;ro - i;ro - ri;ro - o;ro - ro;
13;13;13;13;13;13;12;12;13;13;13;12;13;13;13;13;13;13;12;12;12;12;13;11;12;13;12;12;13;13;13;13;13;13;13;13;
16;16;16;16;16;16;16;16;16;16;16;15;16;16;16;16;16;16;16;16;16;16;16;16;16;15;16;16;16;16;16;16;16;16;16;16;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
15;15;15;15;15;15;14;15;14;14;15;15;15;15;15;15;15;15;14;14;14;14;15;14;15;15;15;15;15;15;15;15;15;15;15;15;
10;10;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;9;10;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
14;14;14;14;14;14;13;13;13;14;14;13;14;14;14;14;14;14;14;12;14;14;13;14;14;14;14;14;14;14;14;14;14;14;14;14;
14;14;14;14;14;14;12;14;12;14;14;12;14;14;14;14;14;14;14;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;
10;10;10;10;10;10;8;10;9;10;10;9;10;10;10;10;10;10;9;9;9;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;
8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;7;8;7;7;8;7;8;8;8;8;8;8;8;8;8;8;8;8;
15;15;15;15;15;15;15;15;15;15;15;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;15;15;15;15;15;15;
12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;12;12;12;12;12;12;
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
23;23;23;23;23;23;22;21;22;22;23;20;23;23;23;23;23;23;22;23;22;22;23;22;23;22;23;23;23;22;23;23;23;23;23;23;
11;11;11;11;11;11;10;9;10;11;11;11;11;11;11;11;11;11;10;10;10;10;11;10;11;11;11;11;11;11;11;11;11;11;11;11;
5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
18;18;18;18;18;18;16;18;17;18;18;16;18;18;18;18;18;18;17;17;17;17;18;16;17;17;17;17;18;16;18;18;18;18;18;18;
19;19;19;19;19;19;17;18;17;19;19;17;19;19;19;19;19;19;19;19;19;19;19;18;19;19;19;19;19;19;19;19;19;19;19;18;
12;12;12;12;12;12;10;9;12;12;12;12;12;12;12;12;12;12;11;11;11;11;12;11;12;12;12;12;12;12;12;12;12;12;12;12;
12;12;12;12;12;12;12;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;11;12;12;12;12;12;12;12;12;12;12;12;12;
