"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
68;65;66;68;68;66;64;64;63;62;64;63;68;69;68;67;69;67;63;65;62;60;65;61;68;69;66;66;67;63;62;62;63;61;62;62
65;64;64;66;67;63;63;62;63;62;64;64;65;65;68;66;65;66;59;61;63;58;65;58;69;68;69;64;68;64;65;63;63;64;62;61
63;64;65;64;66;64;62;65;65;62;68;62;67;65;67;66;66;65;60;60;59;61;64;59;64;65;66;63;66;63;61;63;61;56;62;58
66;67;66;66;68;66;64;60;64;59;64;59;65;65;66;65;66;65;60;61;60;59;64;58;62;64;66;63;67;65;64;63;63;62;65;62
66;66;66;65;66;65;63;64;63;60;64;60;66;65;66;65;66;66;59;61;62;60;63;57;64;66;67;62;67;61;62;62;61;63;65;60
67;66;64;68;67;66;64;65;66;61;64;63;66;67;66;66;67;66;60;65;64;62;63;62;65;67;64;66;68;64;62;63;61;62;65;61
63;64;62;64;66;65;60;63;65;62;65;61;64;64;64;63;63;64;61;65;58;61;63;57;67;67;68;64;68;67;63;65;61;64;63;64
65;63;62;63;66;64;61;61;60;61;65;58;66;64;66;63;65;66;59;60;60;60;62;56;66;65;67;64;68;63;62;60;61;58;64;56
66;67;65;65;67;65;65;63;61;62;65;60;65;67;67;66;68;65;62;64;59;61;61;60;65;65;68;64;67;65;61;61;63;58;61;59
66;66;67;67;66;66;64;62;62;64;64;63;64;63;64;65;63;65;62;65;62;59;63;60;66;65;66;64;68;68;62;63;61;61;60;61
68;67;68;71;70;65;63;64;67;64;62;64;66;64;64;64;65;65;61;63;63;61;64;58;65;64;67;65;68;67;63;64;62;64;66;62
65;67;65;65;66;63;62;60;63;59;62;60;65;64;64;64;63;64;64;60;62;63;61;60;66;65;66;65;67;65;62;63;60;65;63;61
65;65;64;66;67;64;64;66;66;61;64;64;63;63;64;63;63;63;66;62;64;62;65;63;68;66;66;67;69;65;60;59;60;59;62;60
64;64;66;64;67;63;62;61;62;62;64;60;64;62;63;64;63;62;62;59;65;59;62;60;67;68;68;65;66;65;60;61;60;61;61;60
61;60;61;60;64;58;60;58;63;59;61;60;59;59;60;58;58;58;56;56;58;56;60;56;59;58;62;58;61;58;59;60;59;60;61;59
65;67;65;65;68;64;66;64;61;63;62;64;66;65;66;67;67;65;62;62;63;63;65;58;66;67;67;68;70;68;61;60;61;59;60;60
64;65;64;67;67;64;60;62;63;64;63;61;65;65;66;64;65;66;59;59;61;58;62;61;67;66;67;63;69;65;64;63;65;62;63;62
65;63;63;64;64;63;62;63;62;63;64;62;66;66;66;65;67;65;61;59;61;58;62;58;64;67;67;63;67;60;56;61;62;59;62;58
67;67;66;69;68;64;65;59;62;63;65;61;67;67;66;68;68;67;61;65;59;62;67;59;65;68;67;66;68;67;63;62;63;62;64;62
65;65;68;67;68;66;64;61;66;63;68;62;65;64;65;64;66;63;64;64;63;60;67;58;63;67;67;65;67;63;63;65;64;64;66;63
