"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
63;64;61;65;66;61;63;62;65;62;64;61;65;65;65;65;65;65;60;60;60;63;65;60;66;66;70;67;67;66;61;60;61;61;64;58
65;63;64;64;66;61;62;65;66;63;65;62;67;68;68;66;68;66;62;59;62;59;63;55;68;67;67;66;66;67;60;61;60;60;62;59
62;61;61;61;63;60;62;62;62;61;60;60;64;63;64;62;63;62;60;57;61;58;63;59;64;66;66;63;67;63;61;60;61;59;60;60
69;67;68;67;70;67;63;63;64;61;67;62;64;66;65;63;64;63;62;65;64;57;64;56;64;65;67;63;68;62;60;60;60;61;63;59
65;66;66;65;67;64;62;60;65;61;65;61;64;60;63;62;61;61;62;58;61;59;62;59;66;69;68;63;65;66;62;60;63;62;62;62
66;64;65;63;66;64;62;66;62;65;63;61;64;63;64;63;64;63;64;61;59;58;67;55;68;65;68;63;68;62;58;58;58;58;58;59
64;66;63;65;68;62;62;66;63;58;65;62;64;64;65;62;65;63;61;58;60;59;65;55;66;65;67;61;70;63;60;60;61;59;61;58
66;65;65;65;69;66;64;62;64;64;68;64;62;63;65;62;65;62;61;60;62;61;65;57;65;65;66;64;65;63;64;63;63;64;67;62
66;66;66;66;67;63;65;67;66;61;64;61;64;64;65;65;66;64;61;65;62;60;66;60;67;67;68;65;70;63;63;61;63;61;64;61
67;65;65;65;67;63;63;63;64;66;64;60;66;66;66;67;67;64;61;61;64;60;65;58;69;68;68;67;67;65;62;63;64;60;64;60
66;67;67;67;68;67;66;64;62;67;63;64;65;65;66;65;66;66;61;61;61;59;64;63;64;67;67;62;66;65;63;64;63;64;65;63
66;65;67;65;67;65;62;66;65;60;61;58;66;66;66;65;66;65;59;59;62;57;61;58;65;65;66;63;65;63;58;62;61;61;65;59
66;65;65;65;67;64;64;65;60;63;63;61;67;65;68;66;67;65;65;60;64;62;63;60;65;69;68;66;70;65;62;59;62;60;64;63
66;66;65;68;68;65;65;66;63;64;66;66;67;66;68;65;68;67;65;63;61;66;68;62;67;66;69;62;67;66;65;65;64;67;65;64
66;65;66;66;67;66;64;63;59;66;64;62;64;64;66;63;65;63;62;62;63;58;62;60;67;68;70;62;68;64;60;60;61;58;61;57
67;65;64;68;64;63;64;64;63;61;64;64;65;63;66;63;65;64;63;57;62;60;62;54;65;67;68;62;69;64;62;58;60;60;59;61
66;65;62;65;66;64;62;60;62;61;63;59;61;61;63;62;62;61;58;59;57;59;62;58;65;65;67;64;67;63;61;61;59;59;63;60
67;69;68;68;70;67;64;66;64;63;64;63;65;66;67;66;68;65;63;62;62;60;66;60;64;66;66;64;67;64;61;66;64;61;65;62
62;63;64;62;63;62;61;61;62;62;60;56;60;59;60;59;60;59;59;62;60;61;60;58;65;63;64;65;65;60;59;58;61;56;59;59
69;67;67;69;68;68;65;65;65;66;63;64;66;66;65;66;66;65;60;62;61;60;64;57;65;69;65;65;69;65;61;61;64;62;64;62
