"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
53;54;53;53;54;52;53;55;54;54;55;53;55;56;55;56;56;55;52;50;51;54;52;52;57;58;59;57;59;58;54;54;53;54;55;53
56;59;59;56;60;57;58;59;58;56;61;58;61;61;61;61;61;60;56;58;56;54;57;55;62;62;62;62;64;64;55;56;57;56;58;53
50;49;50;50;50;49;48;49;49;47;53;45;53;51;51;53;53;52;46;49;46;48;52;45;51;53;53;50;54;51;48;48;46;48;50;47
59;58;58;59;59;59;58;57;57;58;62;60;60;60;60;60;60;60;59;57;58;59;62;57;69;64;69;67;68;65;57;57;57;56;58;56
43;43;43;43;44;43;46;45;46;45;44;44;44;45;44;44;44;44;44;45;44;43;45;44;50;53;50;52;51;51;42;41;42;41;43;41
44;45;44;44;45;44;45;50;47;46;47;47;46;46;47;46;47;47;47;48;45;48;47;44;53;53;51;51;52;52;46;47;47;47;48;46
57;59;56;57;57;55;59;58;57;58;61;57;59;60;59;60;60;59;53;56;55;56;58;54;59;60;62;60;62;59;56;55;56;54;55;55
58;59;59;59;58;59;58;59;55;59;61;55;61;62;61;61;61;61;56;57;56;59;59;54;62;63;62;61;65;59;56;58;58;57;59;56
43;43;42;41;42;42;44;41;43;46;41;43;43;45;43;44;45;43;41;42;41;42;43;40;47;48;48;48;49;48;41;40;41;41;40;40
60;62;59;61;61;59;58;60;62;56;63;58;63;63;63;62;62;63;57;58;56;56;61;54;66;64;66;63;65;63;59;59;59;58;60;57
52;51;52;52;53;51;51;53;53;51;51;53;51;52;51;51;51;50;51;53;51;50;51;50;52;53;53;51;54;52;51;51;51;50;50;49
58;59;57;56;60;57;57;59;58;58;61;61;60;58;61;59;60;59;57;56;56;54;56;54;60;63;61;61;66;60;57;56;56;56;57;57
40;40;40;40;40;40;36;34;37;37;39;38;39;39;40;39;40;39;36;36;37;35;36;35;40;40;41;39;40;40;37;35;36;37;36;36
59;59;58;59;59;59;56;59;59;57;58;59;59;59;58;59;59;59;55;59;55;54;59;55;60;57;61;56;59;62;58;58;57;56;58;56
50;50;50;51;51;51;54;51;52;50;53;51;49;49;49;49;49;49;46;48;50;46;50;47;54;56;55;54;56;55;47;49;47;47;48;47
61;61;62;61;63;59;56;62;64;59;60;59;64;63;64;62;64;63;57;58;57;56;58;53;64;64;66;64;67;62;55;57;57;57;59;55
52;52;52;52;52;52;57;54;52;54;57;55;55;55;55;55;56;55;50;54;52;51;53;51;57;58;58;58;59;58;51;51;51;51;51;50
47;46;47;48;48;46;49;50;48;46;49;47;45;45;45;45;45;45;48;47;48;48;47;48;50;49;49;51;50;49;48;47;48;48;48;47
44;43;44;43;45;43;42;44;43;44;41;42;40;41;40;41;41;39;42;43;43;44;45;43;46;46;47;45;47;45;44;43;44;43;45;43
56;57;56;57;57;56;54;56;56;58;57;54;54;55;54;54;55;54;55;54;58;55;60;53;61;64;63;60;63;60;54;56;54;55;55;54
