"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
93;93;93;93;95;92;93;91;93;92;93;94;92;91;95;91;93;91;90;91;90;90;96;87;97;101;101;98;105;95;89;86;89;87;90;87
73;73;74;76;74;74;75;74;79;75;74;75;71;70;70;71;73;70;73;73;75;72;77;71;79;80;79;79;80;76;75;74;74;73;73;75
83;83;83;82;83;82;81;80;84;82;81;82;83;84;83;83;85;82;81;80;82;79;82;80;87;86;88;85;85;86;79;78;79;76;78;76
60;60;60;60;62;60;61;62;63;62;60;63;63;63;62;63;63;62;61;61;60;60;62;61;65;65;65;64;66;64;60;57;59;59;58;59
83;80;81;83;84;81;78;79;81;80;85;79;81;81;82;81;81;82;76;78;75;77;80;75;88;87;84;89;87;86;78;78;78;78;79;78
84;85;85;84;85;83;92;85;87;85;94;88;90;91;88;91;91;89;86;85;86;82;87;83;95;93;97;91;92;92;83;83;82;82;82;83
101;100;101;102;102;100;99;96;100;98;101;97;98;102;98;99;103;96;97;95;95;91;101;98;107;109;106;101;107;102;98;95;98;96;98;96
96;96;95;94;95;94;91;95;93;92;98;88;97;95;95;97;95;95;94;94;94;93;96;89;104;105;110;101;106;102;88;92;88;91;93;88
64;64;64;65;66;64;63;64;61;62;66;63;66;66;64;67;67;64;63;63;63;63;64;62;70;69;70;67;70;70;64;64;63;64;64;62
102;105;104;101;105;102;101;98;99;103;107;94;104;104;105;106;105;104;97;101;100;97;107;96;109;110;113;108;115;106;100;98;100;102;104;98
63;64;64;64;64;64;65;63;67;67;67;63;67;67;68;67;67;67;62;60;61;63;62;58;69;69;68;69;70;67;61;60;60;60;60;63
98;101;100;98;99;98;97;99;96;97;100;91;96;95;98;96;97;95;93;95;98;91;99;94;104;105;109;103;110;102;90;92;91;90;94;90
65;65;63;64;65;64;67;63;69;68;68;66;69;67;69;66;67;68;63;63;62;65;66;62;71;73;72;71;73;71;63;63;63;62;64;63
61;59;61;61;61;59;62;63;61;61;62;61;61;61;61;61;61;61;60;60;59;59;61;60;61;62;61;61;63;61;58;58;58;58;58;58
98;96;98;97;98;97;96;96;94;93;98;94;96;96;95;95;98;95;92;93;93;92;98;92;98;98;100;96;106;95;97;94;93;93;94;96
76;75;75;76;76;75;74;77;78;74;77;71;78;78;78;77;78;77;73;71;71;73;76;73;82;84;83;81;82;84;72;72;71;72;74;71
91;91;91;93;93;89;95;93;97;94;101;99;94;95;93;95;95;94;95;97;93;96;98;89;102;105;106;103;104;99;89;88;87;90;92;87
95;93;95;95;98;90;103;101;97;99;102;100;101;100;102;100;101;100;97;91;96;95;98;92;106;105;105;103;106;103;93;93;93;94;95;88
107;108;107;106;109;106;102;102;106;102;107;99;107;106;107;107;109;106;102;104;100;101;106;100;110;112;109;108;113;111;104;103;105;103;103;104
90;89;89;89;90;90;90;85;92;87;94;90;93;93;92;93;93;92;84;87;85;85;90;82;97;95;96;95;99;95;85;86;86;85;87;85
