"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
38;39;37;39;39;37;36;37;38;35;40;37;36;36;36;36;36;36;34;35;35;35;37;35;37;41;38;38;39;37;37;35;38;37;37;36
29;28;29;28;29;28;29;29;28;29;28;30;30;30;30;30;30;30;27;27;28;25;28;27;31;32;31;30;31;30;28;28;29;27;29;29
41;42;42;40;42;39;37;41;40;39;40;39;40;41;40;41;41;41;40;36;38;39;39;37;41;43;42;40;44;41;37;37;39;37;38;36
34;34;34;35;35;32;35;35;36;33;35;34;34;34;34;34;34;34;34;34;34;35;35;35;37;35;38;36;37;35;33;33;33;33;33;33
43;41;42;42;42;41;41;40;41;38;42;37;42;41;41;42;42;41;40;38;39;38;42;40;42;44;43;41;46;40;37;37;40;36;39;37
36;35;37;35;37;36;34;36;37;37;37;34;37;37;37;37;38;37;35;34;34;37;39;36;38;38;39;39;41;37;34;34;34;34;34;34
29;30;29;28;29;30;29;30;30;31;31;29;28;28;29;28;28;28;29;29;29;28;29;29;31;31;32;32;32;31;30;30;30;30;30;29
43;45;43;41;44;42;42;40;40;42;42;38;43;43;44;43;43;43;42;41;42;43;43;40;43;45;46;41;45;44;41;40;41;38;41;39
34;34;34;34;34;34;34;35;35;34;35;35;35;35;35;35;35;35;31;33;32;31;33;32;39;38;38;37;37;38;32;32;29;32;32;31
44;45;45;43;45;43;41;39;44;41;43;38;41;41;40;41;41;40;39;40;41;41;43;35;40;44;43;41;45;41;43;42;43;42;44;42
45;43;44;44;47;43;41;41;41;43;44;42;43;44;44;43;44;43;42;44;43;41;43;41;44;45;44;41;44;42;42;44;42;43;45;42
41;40;41;41;42;41;41;43;43;38;40;41;41;41;41;41;41;41;39;42;38;39;42;39;43;44;44;42;42;42;40;41;41;42;41;40
38;39;38;39;40;39;38;38;38;35;38;38;40;41;41;39;40;40;36;37;39;36;41;35;41;40;41;39;40;38;37;37;36;35;38;36
43;39;44;41;43;40;43;41;41;37;41;40;42;42;42;40;43;40;40;39;40;37;41;40;42;44;46;43;46;42;39;39;40;38;42;36
42;40;41;42;42;41;40;38;38;38;37;38;41;41;40;40;41;39;40;39;39;37;42;38;45;44;44;43;44;43;38;38;38;35;37;38
35;34;34;35;34;35;32;31;31;30;31;29;35;35;36;33;34;34;33;30;31;32;32;32;33;32;35;33;34;33;31;31;30;31;31;30
43;42;42;43;44;42;39;40;39;40;41;39;39;39;40;40;40;39;42;41;40;41;40;41;43;45;43;43;45;42;39;38;39;39;41;38
41;41;41;41;42;40;38;38;39;37;39;38;38;39;40;39;39;40;36;36;38;36;39;36;39;41;42;40;40;41;38;38;38;39;40;37
42;41;42;40;42;41;42;41;39;40;41;38;43;43;43;43;44;43;36;36;36;35;40;36;41;40;42;40;45;42;39;40;39;39;39;39
38;40;38;38;38;39;36;38;40;38;37;35;38;37;39;36;38;37;35;34;36;36;36;35;37;40;40;38;40;37;35;34;35;37;36;35
