"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
34;34;34;32;34;32;33;37;33;34;35;35;35;35;35;35;35;35;30;34;32;30;32;31;37;37;39;37;38;37;33;32;33;32;33;33
37;38;37;37;37;37;39;41;39;36;40;38;37;38;38;36;37;37;36;37;36;35;38;35;39;40;40;38;40;39;38;37;38;38;38;38
38;39;38;38;38;39;41;40;41;42;42;39;43;43;43;43;43;43;38;40;37;39;38;36;43;43;43;44;46;42;37;37;37;37;38;37
30;30;30;30;30;30;29;31;32;28;30;29;30;30;30;30;30;30;30;31;31;30;32;29;31;30;32;31;32;30;30;30;30;30;30;30
33;33;33;34;34;34;36;36;34;36;35;34;35;35;35;35;35;35;35;34;35;35;34;33;35;36;37;34;35;35;35;35;34;35;35;34
37;38;38;37;38;37;40;38;36;39;36;36;39;39;39;39;39;39;36;37;36;37;38;35;40;40;40;40;40;39;37;38;36;39;38;36
28;28;27;28;28;28;27;29;27;27;30;29;28;28;28;28;28;28;28;29;28;28;28;27;31;31;31;30;31;31;26;26;25;26;27;26
33;33;34;35;35;33;35;35;36;35;35;35;36;35;36;36;36;36;29;31;32;32;34;29;36;37;39;36;39;36;34;35;33;35;34;35
37;36;37;37;38;36;36;38;36;37;35;35;37;38;38;36;39;36;32;36;34;35;38;32;37;37;37;36;41;37;35;38;35;37;37;34
36;36;36;36;36;35;36;34;37;36;32;35;35;36;36;35;36;35;35;34;36;33;37;32;37;36;38;38;37;37;33;33;33;32;34;33
35;34;35;34;35;35;33;33;32;31;35;33;35;35;35;35;35;35;33;34;31;34;33;30;36;36;37;36;36;35;33;33;33;33;33;32
38;38;37;39;39;38;39;37;38;40;38;36;39;39;39;39;39;39;38;36;36;37;40;34;43;42;42;42;41;42;36;34;35;36;36;37
33;33;33;33;33;33;36;34;37;36;35;33;36;35;35;35;35;35;33;33;32;34;35;32;38;38;39;37;38;38;32;32;31;32;32;33
39;38;39;39;39;39;39;39;40;36;39;38;40;39;39;39;40;39;37;39;38;37;39;36;40;42;41;41;43;40;39;37;38;39;39;38
35;35;35;35;35;35;34;34;35;36;38;36;35;35;35;35;35;35;35;34;35;35;36;34;38;38;39;38;38;38;34;35;35;33;35;34
38;38;38;38;38;37;37;37;38;37;37;36;39;39;39;39;39;39;36;35;36;36;36;35;38;40;39;38;40;39;34;36;34;34;35;34
41;40;41;40;40;40;40;36;38;40;37;40;39;39;39;39;40;39;38;37;37;38;37;37;42;41;41;41;39;40;37;37;38;37;37;37
40;38;40;38;41;37;39;40;39;38;37;39;41;40;41;40;41;41;35;35;37;38;41;37;40;42;42;40;44;40;39;39;39;39;41;37
37;37;38;37;37;38;39;38;37;36;40;35;39;38;39;39;38;39;35;37;35;36;38;33;40;41;40;38;41;38;37;35;37;37;37;37
34;34;34;34;33;34;34;34;32;34;34;35;35;35;35;35;36;35;37;37;36;38;35;36;37;37;37;37;38;37;32;32;32;32;32;33
