"s - s";"s - r";"s - i";"s - ri";"s - o";"s - ro";"r - s";"r - r";"r - i";"r - ri";"r - o";"r - ro";"i - s";"i - r";"i - i";"i - ri";"i - o";"i - ro";"ri - s";"ri - r";"ri - i";"ri - ri";"ri - o";"ri - ro";"o - s";"o - r";"o - i";"o - ri";"o - o";"o - ro";"ro - s";"ro - r";"ro - i";"ro - ri";"ro - o";"ro - ro"
41;43;41;42;44;41;43;43;40;40;43;41;40;42;42;42;41;42;40;38;41;39;41;38;44;41;43;43;46;42;40;42;41;41;41;40
42;43;44;43;44;42;42;44;42;45;40;43;40;40;40;39;41;39;42;38;42;41;41;41;46;46;46;45;45;45;40;41;41;41;43;38
44;46;44;44;46;43;41;41;41;43;41;39;42;43;43;42;42;42;39;38;41;38;41;38;44;46;45;44;44;44;42;42;43;42;41;42
42;42;42;43;44;42;39;41;41;41;43;40;42;43;42;43;42;42;39;41;39;41;41;41;47;46;45;45;44;46;39;39;40;40;41;39
43;41;41;44;44;43;42;44;40;42;44;41;44;44;44;44;44;44;40;43;42;42;43;39;44;43;45;45;46;43;43;42;43;42;42;42
39;40;38;41;42;37;38;41;39;40;42;38;40;40;41;40;40;39;40;38;37;37;39;35;45;42;45;44;44;42;39;40;37;38;39;36
44;43;43;42;43;41;38;43;43;43;42;38;43;42;43;41;42;43;35;39;37;37;40;35;44;43;45;43;44;42;42;41;40;39;40;40
42;42;42;42;43;42;46;43;43;42;44;41;44;45;44;45;43;45;40;41;39;39;41;43;45;47;46;43;46;45;40;43;41;40;42;41
44;44;44;43;45;44;43;38;42;41;43;40;42;42;42;42;42;42;39;42;39;40;42;38;43;43;45;46;46;44;41;42;39;40;43;39
41;43;42;41;43;40;41;45;42;40;43;37;39;39;40;39;41;39;40;40;41;41;42;39;43;45;45;42;44;41;39;38;40;38;40;37
46;47;47;45;46;46;42;46;45;44;45;40;43;44;43;44;44;43;42;43;41;41;44;40;45;44;44;44;45;43;43;43;43;44;46;42
40;40;40;40;40;40;37;41;40;40;38;40;41;42;40;40;40;41;34;36;38;35;39;34;41;38;41;40;41;41;39;37;38;39;40;37
41;41;42;42;43;42;43;41;42;43;40;40;40;40;40;40;40;40;41;41;40;42;43;41;46;46;45;43;46;44;38;39;40;39;40;38
45;47;44;44;44;46;41;41;40;42;44;40;42;42;43;42;43;42;43;42;42;41;44;42;43;45;43;45;44;41;41;41;41;41;41;43
43;43;43;43;45;42;41;41;40;40;44;40;45;44;44;45;45;44;41;40;42;39;42;39;45;45;43;45;45;45;39;39;38;38;39;41
46;45;45;45;45;45;41;43;41;40;44;41;44;44;44;44;44;44;41;39;41;40;41;39;44;46;45;44;45;43;42;43;43;42;41;43
39;38;38;38;40;39;38;38;36;38;36;39;40;41;40;39;41;40;36;35;36;37;37;34;39;39;39;38;40;39;38;38;39;37;39;38
45;45;45;45;45;44;41;38;42;40;43;40;43;42;44;43;44;43;42;43;44;41;43;40;42;42;45;41;44;42;42;42;42;43;42;42
42;43;42;42;44;41;41;41;44;42;46;40;44;43;43;43;44;42;43;41;40;42;44;40;43;44;43;45;45;43;40;41;42;41;43;40
42;43;43;42;44;42;42;41;43;42;42;40;43;43;43;43;44;43;42;42;43;40;42;41;45;42;44;45;46;43;43;42;43;40;43;42
